seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
154,,MotocycleRacer,Motorcyclist_Professional,OK,web,,,,,,,,MotocycleRacer,,,,,
155,,NascarDriver,NASCARDriver,OPENCYC,web+onto+v105,,,,,,,,NascarDriver,,,,,
156,,RallyDriver,Driver_TransportationProfessional,NEED,web,,,,,,,,RallyDriver,,,,,
157,,NationalCollegiateAthleticAssociationAthlete,Athlete,UPDATED,web+onto+v105,,,,,,NationalCollegiateAthleticAssociationAthlete,,,,,,,
158,,NetballPlayer,Athlete,NEED,web+onto,,,,,,NetballPlayer,,,,,,,
159,,PokerPlayer,PokerPlayer,OPEN,web+onto+v105,,,,,,PokerPlayer,,,,,,,
160,,Rower,Athlete,NEED,web,,,,,,Rower,,,,,,,
161,,RugbyPlayer,RugbyPlayer,OK,web+onto+v105,,,,,,RugbyPlayer,,,,,,,
162,,Skater,Athlete,NEED,web+onto,,,,,,Skater,,,,,,,
163,,Skier,SnowSkier,OK,web+onto,,,,,,Skier,,,,,,,
164,,SnookerPlayer,Athlete,NEED,web+onto,,,,,,SnookerPlayer,,,,,,,
165,,SnookerChamp,Athlete,NEED,web+onto,,,,,,,SnookerChamp,,,,,,
166,,SoccerPlayer,SoccerPlayer,OK,web+onto+v105,,,,,,SoccerPlayer,,,,,,,
167,,SquashPlayer,SquashPlayer,OPENCYC,web+onto,,,,,,SquashPlayer,,,,,,,
168,,Surfer,Surfer,OK,web,,,,,,Surfer,,,,,,,
169,,Swimmer,Swimmer,OK,web+onto,,,,,,Swimmer,,,,,,,
170,,TableTennisPlayer,Athlete,NEED,web+onto,,,,,,TableTennisPlayer,,,,,,,
171,,TeamMember,Athlete,???,web+onto,,,,,,TeamMember,,,,,,,
172,,TennisPlayer,TennisPlayer,OK,web+onto+v105,,,,,,TennisPlayer,,,,,,,
173,,VolleyballPlayer,VolleyballPlayer,OPENCYC,web+onto,,,,,,VolleyballPlayer,,,,,,,
174,,BeachVolleyballPlayer,VolleyballPlayer,NEED,web+onto,,,,,,,BeachVolleyballPlayer,,,,,,
175,,Wrestler,Wrestler,OK,web+onto+v105,,,,,,Wrestler,,,,,,,
176,,SumoWrestler,Pro_wrestler,NEED,web+onto,,,,,,,SumoWrestler,,,,,,
177,,BeautyQueen,Artist_Performer,NEED,web+onto,,,,,BeautyQueen,,,,,,,,
178,,BusinessPerson,BusinessPerson,OK,web,,,,,BusinessPerson,,,,,,,,
179,,Celebrity,Celebrity,OK,web+onto+v105,,,,,Celebrity,,,,,,,,
180,,Chef,Chef,OK,web+onto,,,,,Chef,,,,,,,,
181,,Cleric,Cleric,OK,web+onto+v105,,,,,Cleric,,,,,,,,
182,,Cardinal,Cardinal_CatholicBishop,OK,web+onto+v105,,,,,,Cardinal,,,,,,,
183,,ChristianBishop,Bishop_Clerical,OK,web+onto+v105,,,,,,ChristianBishop,,,,,,,
184,,ChristianPatriarch,Patriarch,OKNEED,web+onto,,,,,,ChristianPatriarch,,,,,,,
185,,Pope,Pope,OK,web+onto+v105,,,,,,Pope,,,,,,,
186,,Priest,Cleric,OK,web+onto,,,,,,Priest,,,,,,,
187,,Saint,Saint,OK,web+onto+v105,,,,,,Saint,,,,,,,
188,,Vicar,Cleric,NEED,web,,,,,,Vicar,,,,,,,
189,,Coach,SportsCoach,OK,web,,,,,Coach,,,,,,,,
190,,AmericanFootballCoach,SportsCoach,NEED,web,,,,,,AmericanFootballCoach,,,,,,,
191,,CollegeCoach,CollegeCoach,OPENCYC,web+onto+v105,,,,,,CollegeCoach,,,,,,,
192,,VolleyballCoach,SportsCoach,NEED,web+onto,,,,,,VolleyballCoach,,,,,,,
193,,Criminal,Criminal,OK,web+onto+v105,,,,,Criminal,,,,,,,,
194,,Murderer,Murderer,OK,web+onto,,,,,,Murderer,,,,,,,
195,,SerialKiller,SerialKiller,OK,web,,,,,,SerialKiller,,,,,,,
196,,Economist,Economist,OK,web+onto,,,,,Economist,,,,,,,,
197,,Egyptologist,Professional_Adult,NEED,web,,,,,Egyptologist,,,,,,,,
198,,Engineer,Engineer,OK,web+onto,,,,,Engineer,,,,,,,,
199,,Farmer,Farmer,OK,web,,,,,Farmer,,,,,,,,
200,,FictionalCharacter,FictionalCharacter,OK,web+onto+v105,,,,,FictionalCharacter,,,,,,,,
201,,ComicsCharacter,CartoonCharacter,OK,web+onto+v105,,,,,,ComicsCharacter,,,,,,,
202,,AnimangaCharacter,CartoonCharacter,NEED,web+onto,,,,,,,AnimangaCharacter,,,,,,
203,,DisneyCharacter,CartoonCharacter,NEED,web,,,,,,DisneyCharacter,,,,,,,
204,,NarutoCharacter,CartoonCharacter,NEED,web,,,,,,NarutoCharacter,,,,,,,
205,,SoapCharacter,TVCharacter,NEED,web+onto,,,,,,SoapCharacter,,,,,,,
206,,Historian,Historian,OK,web,,,,,Historian,,,,,,,,
207,,HorseTrainer,AnimalTrainer,NEED,web+onto,,,,,HorseTrainer,,,,,,,,
208,,Journalist,Journalist,OK,web+onto+v105,,,,,Journalist,,,,,,,,
209,,Judge,Judge,OK,web+onto+v105,,,,,Judge,,,,,,,,
210,,Linguist,Linguist,OK,web,,,,,Linguist,,,,,,,,
211,,Manager,Manager,DROP,v105,,,,,Manager,,,,,,,,
212,,FootballManager,Manager,DROP,v105,,,,,,FootballManager,,,,,,,
213,,MilitaryPerson,MilitaryPerson,OK,web+onto+v105,,,,,MilitaryPerson,,,,,,,,
214,,Model,FashionModel,OK,web+onto+v105,,,,,Model,,,,,,,,
215,,Monarch,Monarch_HeadOfState,OK,web+onto+v105,,,,,Monarch,,,,,,,,
216,,MythologicalFigure,FictionalCharacter,NEED,web,,,,,MythologicalFigure,,,,,,,,
217,X,Noble,AristocratTypeByTitle,OPENCYC,web+onto,,,,,Noble,,,,,,,,
218,,OfficeHolder,ElectedOfficial,OK,web+onto,,,,,OfficeHolder,,,,,,,,
219,,OrganisationMember,OrganizationOfPeopleOnly,???,web+onto,"hmm, membership modeling is difficult 'Member_Generic'?",,,,OrganisationMember,,,,,,,,
220,,SportsTeamMember,SportsTeam,???,web+onto,"hmm, membership modeling is difficult 'Member_Generic'?",,,,,SportsTeamMember,,,,,,,
221,,Philosopher,Philosopher,OK,web+onto+v105,,,,,Philosopher,,,,,,,,
222,,PlayboyPlaymate,PlayboyModel,OK,web+onto+v105,,,,,PlayboyPlaymate,,,,,,,,
223,,Politician,Politician,OK,web+onto+v105,,,,,Politician,,,,,,,,
224,,Chancellor,Chancellor_HeadOfGovernment,OK,web+onto+v105,,,,,,Chancellor,,,,,,,
225,,Congressman,USRepresentative,OK,web+onto+v105,,,,,,Congressman,,,,,,,
226,,Deputy,PersonWithOccupation,UPDATED,web+onto+v105,,,,,,Deputy,,,,,,,
227,,Governor,StateGovernor,OK,web+onto+v105,,,,,,Governor,,,,,,,
228,X,Lieutenant,LieutenantCommander,OK,web+onto+v105,no general concept of lieutenant per deputy,,,,,Lieutenant,,,,,,,
